Group_Hypothesis,Sub_Hypothesis,Description,Expression
Momentum,10-Day Relative Strength,Assets with higher relative strength over the past 10 days will outperform the benchmark in the next 10 days.,signal = (Asset_Price[t]/Asset_Price[t-10]) / (Benchmark_Price[t]/Benchmark_Price[t-10])
Momentum,20-Day Price Acceleration,Stocks with increasing 20-day price momentum will continue to outperform.,Signal = (Momentum[t] - Momentum[t-10]) where Momentum[t] = (Price[t] / Price[t-20]) -1
Momentum,Volume-Weighted Momentum,Assets with higher volume-weighted returns over the past 20 days will outperform in the next 20 days.,"signal = SUM(Price_Change[i] * Volume[i] for i in range(t-20,t)) / SUM(Volume[i] for i in range(t-20,t))"
Momentum,Short-Term Breakout,Stocks that recently broke above their 20-day moving average with high volume are likely to continue rising.,Signal = 1 if (Price[t] > MA20[t] and Volume[t] > AvgVolume[20]) else 0
Momentum,5-Day Rolling Correlation with Sector,Assets with increasing 5-day rolling correlation with their sector index will outperform in the next 5 days.,"correlation = rolling_correlation(Asset_Price[t-5:t], Sector_Index_Price[t-5:t])"
Momentum,Sentiment-Adjusted Momentum,Assets with strong price momentum and positive sentiment will continue to outperform.,Signal = (Price[t] / Price[t-10]) * SentimentScore[t]
Momentum,P/E Ratio Momentum,Assets with increasing P/E ratios over the past 20 days will continue to outperform.,Signal = (P/E[t] / P/E[t-20]) -1
Price and Volume Patterns,High Volume Confirmation,Price increases accompanied by significantly higher than average volume are more likely to persist.,IF (Price[t] > Price[t-1] AND Volume[t] > 2 * Avg(Volume[t-20:t-1])) THEN signal = 1 ELSE signal = 0
Momentum,Mean Reversion of Momentum,Assets whose momentum score deviates significantly from its long-term average will revert to the mean.,reversion_signal = (Momentum_Score[t] - Average_Momentum_Score) / Std_Dev_Momentum_Score
Mean Reversion,Volatility-Adjusted Reversion,The price is expected to revert to its average based on a volatility-adjusted moving average.,volatility_adjusted_ma = 20-day MA / ATR; signal = (volatility_adjusted_ma - Close) / volatility_adjusted_ma if |signal| > 0.1
Relative Strength,Relative Strength Momentum,The rate of change of relative strength predicts future outperformance.,signal = ( (Price_Asset/Benchmark_Price)_Current - (Price_Asset/Benchmark_Price)_Previous ) / (Price_Asset/Benchmark_Price)_Previous
Combined Strategies,Value & Momentum,Combine low P/E ratio with positive price momentum for stronger signals.,signal = (1 / P/E) * ((price - price[5]) / price[5])
Mean Reversion,10-Day Volatility Reversion,The 10-day volatility of an asset is expected to revert to its 30-day average volatility.,"signal = (STDDEV(Price, 10) - SMA(STDDEV(Price, 10), 30)) / SMA(STDDEV(Price, 10), 30)"
Mean Reversion,P/E Ratio Reversion,A stock's P/E ratio is expected to revert to its industry average P/E ratio after significant deviation.,signal = (P/E - IndustryAvg(P/E)) / IndustryAvg(P/E)
Mean Reversion,Sentiment Score Reversion,"Market sentiment, as measured by a composite score, will revert to its historical average after extreme positive or negative shifts.",Signal = (Avg Sentiment Score - Current Sentiment Score) / Sentiment Score Standard Deviation
Mean Reversion,Volume Reversion,Trading volume will revert to its average after experiencing unusually high or low periods.,Signal = (Average Volume - Current Volume) / Average Volume
Mean Reversion,Correlation Reversion,The correlation between two assets is expected to revert to its long-term average correlation after a significant change.,"signal = (Correlation(AssetA, AssetB) - AvgCorrelation(AssetA, AssetB)) / AvgCorrelation(AssetA, AssetB)"
Mean Reversion,30-Day Price Momentum Reversion,Stocks with strong 30-day positive price momentum tend to see a reduction in returns within the subsequent 10 days.,signal = -1 * (Price[t] - Price[t-30]) / Price[t-30] if (Price[t] - Price[t-30]) / Price[t-30] > 0.1 else 0
Mean Reversion,Short-Term Interest Rate Reversion,Short-term interest rates revert to their long-term average after significant deviations.,signal = (long-term avg interest rate - current short-term rate) / long-term rate std dev
Mean Reversion,Earnings Surprise Reversion,Stocks experiencing large positive earnings surprises often exhibit price mean reversion.,"signal = IF(EarningsSurprise > 2 * SMA(EarningsSurprise, 4), -1, 0)"
Mean Reversion,Relative Strength Index (RSI) Reversion,"An RSI above 70 suggests an overbought condition, likely to revert downwards.",signal = -1 if RSI > 70 else 1 if RSI < 30 else 0
Assets with low valuations (relative to fundamentals) tend to generate higher returns,Low P/E Rebound,Stocks with P/E ratios below a moving average of historical P/E ratios will outperform the market in the subsequent period.,"Signal = 1 if (Current_PE < SMA(Historical_PE, N)) else 0"
Undervalued Asset Outperformance,Cyclically Adjusted P/E (CAPE) Reversion,Companies with low CAPE ratios relative to their historical averages will exhibit higher returns than the market.,Signal = 1 if (Current_CAPE < 0.75 * Historical_Avg_CAPE) else 0
Undervalued Assets Outperformance,High Dividend Yield Momentum,Stocks with high dividend yields and increasing dividend payout ratios will outperform the market.,Signal = Dividend_Yield * (Dividend_Payout_Ratio_change / Dividend_Payout_Ratio_previous)
Undervalued Asset Outperformance,Price-to-Book (P/B) Ratio Reversion,Companies with a P/B ratio significantly below their sector median will generate excess returns.,Signal = 1 if (Current_P/B < 0.7 * Sector_Median_P/B) else 0
Undervalued Assets Outperformance,Low Price-to-Sales (P/S) Ratio,Companies with low P/S ratios relative to their industry peers will generate higher returns.,Signal = (IndustryAvgPS - StockPS) / IndustryAvgPS
Undervalued Asset Outperformance,Earnings Surprise and Low Valuation,Stocks that exceed earnings expectations and have a low P/E ratio will outperform.,Signal = (Earnings_Surprise_Percentage * (1 / Current_P/E))
Value Investing,Free Cash Flow Yield,Stocks with high free cash flow yield relative to their market capitalization outperform those with low yields.,Signal = Free_Cash_Flow / Market_Cap
Undervalued Asset Outperformance,Negative Sentiment and Low Valuation,"Stocks with negative investor sentiment (e.g., low short interest) combined with low P/E ratios will generate alpha.",Signal = (1 - Short_Interest_Ratio) * (1 / Current_P/E)
Undervalued Assets Outperformance,Value Factor with Low Volatility,Low-volatility stocks with low P/E ratios relative to their historical averages will outperform.,Signal = (1 - (Current_P/E / Avg_Historical_P/E)) * (1 / Volatility)
Undervalued Asset Outperformance,Asset Growth and Low Valuation,Companies with high asset growth and low valuation metrics will provide superior returns.,Signal = (Asset_Growth_Rate) / (P/E + P/B + P/S)
News/Earnings Impact,News Sentiment Momentum,Positive news sentiment following an earnings announcement predicts higher returns in the next 24 hours.,Signal = SentimentScore(NewsHeadline) * (TimeSinceAnnouncement <= 24 hours)
Market Sentiment,Social Media Volatility,Increased volatility in social media sentiment precedes increased price volatility.,"Signal = StdDev(SocialMediaSentiment, 5 days) * StdDev(Price, 5 days)"
Market Sentiment,Options Put/Call Ratio,A high put/call ratio indicates bearish sentiment and predicts lower prices in the next week.,PutVolume / CallVolume > Threshold ? -1 : 1
News Sentiment Impact on Price,Sentiment Surprise,"A sudden, large shift in average news sentiment predicts a short-term price movement in the same direction.",Signal = (Avg(Sentiment_t) - Avg(Sentiment_t-10))/StdDev(Sentiment_t-10)
Market Sentiment,Social Media Trend Reversal,A sharp decrease in positive social media mentions after a sustained period of positivity suggests a price decline.,"IF (PositiveSocialMediaMentions < 0.5 * Avg(PositiveSocialMediaMentions, 30 days)) THEN Sell;"
Market Sentiment,News Sentiment Lag,The effect of positive news sentiment on price is delayed by approximately 2 trading days.,"Signal = SMA(Price, 2) - Price[0] where positive NewsSentiment is observed 2 days prior"
Market Sentiment,Options Implied Volatility,High implied volatility from options trading signals increased price volatility in the near term.,ImpliedVolatility(t)
News Sentiment and Price Movement,Sentiment Correlation with Price,A high correlation between daily sentiment and subsequent price changes indicates predictive power.,"Signal = Correlation(Sentiment<sub>t</sub>, PriceChange<sub>t+1</sub>)"
Market Sentiment,Social Media Sentiment Decay,The impact of positive social media sentiment decays exponentially over time.,SocialMediaSentiment(t) * exp(-decayRate * time)
News Event Impact,News Sentiment and Volume,High news volume combined with positive news sentiment predicts short-term price increases.,Signal = NewsVolume[t] * SentimentScore[t]
Volatility Changes Predict Returns,VIX Reversion,High VIX readings are followed by lower returns as the market stabilizes.,signal = -1 * VIX_t
Volatility and Trading Range,Volatility Breakout,A breakout above or below the recent volatility-adjusted trading range suggests a continuation move.,Signal = (Price_t - Upper_Volatility_Band) / Average(True_Range)
Volatility and Option Pricing,Implied Volatility Skew,A pronounced skew in implied volatility suggests future price directional moves.,"Signal = (IV_put - IV_call) / Average(IV_put, IV_call)"
Volatility Changes Predict Returns,Volatility Clustering,"Periods of high volatility tend to be followed by further high volatility, predicting lower returns.","signal = rolling_stddev(returns, window=20)"
Volatility Changes Predict Returns,Volatility Shock Rebound,"Large, unexpected increases in volatility predict a subsequent mean reversion in returns.",signal = -1 * abs(Volatility_t - Volatility_{t-1})
Volatility Clustering,Leverage Effect,Negative returns lead to higher future volatility.,"signal = -1 * return * rolling_std(price,10)"
Volatility-Based Return Prediction,Volatility and Momentum,High volatility stocks with negative recent momentum exhibit lower future returns.,signal = -1 * (Volatility * Momentum)
Volatility-Based Return Prediction,Volatility and Value,Low-volatility value stocks (high P/E ratio) show higher returns during periods of low volatility.,signal = 1 if (Volatility < AvgVolatility and P/E > AvgP/E) else -1
Volatility Changes Predict Returns,Volatility and Sentiment,High volatility combined with negative sentiment predicts lower future returns.,"signal = rolling_stddev(returns, window=10) * sentiment_index"
Volatility-Based Return Prediction,Volatility and Correlation,Increased market correlation during high volatility periods predicts lower future returns.,signal = -1 * (Volatility * Correlation)
Liquidity Impact on Asset Prices,High Volume Breakout,High volume accompanied by a price breakout above a significant resistance level indicates upward momentum.,signal = (Volume[t] > threshold) && (Price[t] > ResistanceLevel)
Liquidity & Volume,Volume Weighted Average Price Reversal,A divergence between the VWAP and closing price suggests a potential price reversal.,Signal = VWAP(day) - Close(day); if Signal > 0 and decreasing then Sell
Liquidity Impact on Asset Prices,Liquidity-Adjusted Momentum,Momentum is stronger when trading volume increases concurrently.,signal = (return_t * volume_t) - avg(return_t * volume_t)_{t-n:t-1}; where n is a lookback period
Liquidity and Volume based Alpha Strategies,Volume Squeeze,Low volume preceding a significant price move predicts a continuation of the trend.,signal = (Volume[t] < avg(Volume[t-20]) AND abs(Price[t] - Price[t-1]) > threshold)
Liquidity: Trading Activity,Bid-Ask Spread Reversal,Assets with unusually wide bid-ask spreads will see a narrowing of the spread and positive price movement.,signal = -1 * (BidAskSpread[t] - avg(BidAskSpread[t-20:t-1]))
Liquidity : Trading strategies that leverage differences in liquidity across assets or markets,Overnight Liquidity Gap,Exploiting price differences between the closing price of a less liquid market and the opening price of a more liquid market.,Profit = Open_Price_Liquid - Close_Price_Illiquid - Transaction_Costs
Liquidity and Volume based Alpha Strategies,Liquidity-Driven Price Oscillation,"Assets with high liquidity exhibit faster price oscillations, allowing for profitable mean reversion trades.","signal = (Price[t] - SMA(Price, 10)) / AvgVolume[t]"
Liquidity and Volume based Alpha Strategies,Relative Liquidity Strength,The ratio of an asset's volume to its peer group's average volume predicts relative outperformance.,signal = Volume[t] / avg(PeerGroupVolume[t])
Liquidity Impact on Asset Prices,Low Liquidity Contrarian,Assets with consistently low trading volume might be undervalued and poised for upward price movement.,signal = 1 if avg(volume_{t-n:t}) < threshold else 0; where threshold is a predetermined low volume level and n is a lookback period.
Liquidity: Trading Activity,Turnover Ratio Predictor,Assets with high turnover ratios relative to their sector will outperform in the short term.,signal = (TurnoverRatio - avg(SectorTurnoverRatio)) / std(SectorTurnoverRatio)
Calendar Effects: Returns,Monday Open Gap,The open price on Mondays will revert to the Friday close price over the next few trading days.,Signal = (MondayOpen - FridayClose) / FridayClose
Calendar Effects,Turn of the Month Effect,Returns are higher in the last week of the month.,signal = (day_of_month >= 22) ? 1 : 0
Calendar Effects,January Effect,Small-cap stocks outperform in January.,signal = (month == 1 && market_cap < median_market_cap) ? 1 : 0
Calendar Effects: Returns,Friday Close Strength,Friday's closing price is often higher than the average daily closing price for the week.,Signal = (Friday_Close - Average_Weekly_Close) / Average_Weekly_Close
Calendar Effects: Returns,Pre-Holiday Rally,Returns tend to be higher in the days leading up to major holidays.,Signal = Average_Return(Days before Holiday)
Calendar Effects,Weekend Effect Reversal,Stocks that underperform on Fridays tend to outperform on Mondays.,signal = (Friday_Return < 0) ? 1 : -1
Calendar Effects,July Effect,Small-cap stocks underperform in July.,Signal = (AvgReturn_SmallCap_July - AvgReturn_Market_July)
Seasonality,Santa Claus Rally,Stocks tend to rise during the last five trading days of December and the first two of January.,Signal = (Price_Last5Dec + Price_First2Jan) / (Price_Dec1 - Price_Dec26)
Calendar Effects: Returns,Seasonal Volume Shift,Trading volume increases during certain times of the year.,Signal = (Average_Volume(Month) - Average_Annual_Volume) / Average_Annual_Volume
Calendar Effects: Returns,Day of the Week Seasonality,Returns vary systematically across days of the week.,"Signal = [Average_Return(Monday), Average_Return(Tuesday), Average_Return(Wednesday), Average_Return(Thursday), Average_Return(Friday)]"
Statistical Arbitrage: Pair Trading,Volume-Weighted Spread Reversion,"The spread between two stocks, weighted by their volume, reverts to its mean faster than the simple spread.","Signal = (VolumeWeightedSpread - Mean(VolumeWeightedSpread, 252)) / StdDev(VolumeWeightedSpread, 252)"
Statistical Arbitrage: Pair Trading,Momentum Divergence,"When the relative momentum of a stock pair diverges significantly, a mean reversion is expected.","Signal = (Momentum_StockA - Momentum_StockB) / Avg(Momentum_StockA, Momentum_StockB)"
Arbitrage: Exploiting pricing discrepancies between related assets,ETF-Underlying Discrepancy,The price difference between an ETF and its underlying assets will revert to a fair value based on the ETF's holdings and expense ratio within one trading day.,signal = (ETFPrice - (Sum(UnderlyingPrice * Weight) + ExpenseRatio))
Correlation Arbitrage: ETF Arbitrage,NAV-Price Deviation,The deviation between an ETF's Net Asset Value (NAV) and its market price will mean-revert.,signal = (NAV - ETFPrice) / NAV
Correlation Arbitrage: Futures vs. Spot,Contango/Backwardation Reversal,Extreme levels of contango (futures price > spot price) or backwardation (futures price < spot price) will partially revert.,Signal = (Futures_Price - Spot_Price) / Spot_Price
Correlation Arbitrage: Exploiting temporary mispricing between correlated assets,Basis Convergence,The basis (price difference) between a futures contract and its underlying asset will converge towards zero before expiration.,signal = futures_price - spot_price
Correlation Arbitrage: Convertible Bonds & Underlying Equity,Conversion Premium Reversion,The premium paid for a convertible bond over its conversion value will revert to its historical average over a short period.,"Signal = (Convertible_Bond_Price - Conversion_Value) - AVG(Convertible_Bond_Price - Conversion_Value, 60); Action: Long Bond/Short Stock if Signal > Threshold, Short Bond/Long Stock if Signal < -Threshold"
Correlation Arbitrage: Convertible Bond Arbitrage,Implied Volatility Mispricing,Mispricing of implied volatility in convertible bonds relative to the underlying equity creates arbitrage opportunities.,signal = (impliedVolatilityConvertible - impliedVolatilityEquity) / impliedVolatilityEquity
Correlation Arbitrage: Statistical Arbitrage,Cointegration Breakdown,A temporary breakdown in the cointegration relationship between two assets creates a profitable arbitrage opportunity.,signal = residuals from cointegration regression
Mean Reversion,10-Day RSI Reversion,The Relative Strength Index (RSI) will revert to its mean after exceeding overbought/oversold thresholds.,"rsi = RSI(price, 10); if rsi > 70 then short; if rsi < 30 then long"
Mean Reversion,Volume-Weighted Average Price (VWAP) Reversion,Price tends to revert to the VWAP after significant deviations during a trading session.,Signal = (VWAP - Price) / VWAP
Mean Reversion,PE Ratio Reversion,Stocks with P/E ratios significantly above their 52-week average are expected to revert to the mean.,signal = (52week_avg_PE - current_PE) / 52week_avg_PE
Mean Reversion,Correlation with Sector Reversion,"When a stock's correlation with its sector significantly deviates from its historical average, a reversion is expected.","signal = (correlation(stock_price, sector_index) - mean(correlation(stock_price, sector_index)[-60:])) / std(correlation(stock_price, sector_index)[-60:])"
Mean Reversion,20-Day Bollinger Band Reversion,Prices that touch the lower Bollinger Band (20-day MA +/- 2*STDEV) are expected to revert towards the mean.,"signal = price < BB_lower(price, 20, 2) ? 1 : 0"
Mean Reversion,5-Day Moving Average Reversion,Prices significantly above their 5-day moving average tend to decline; those significantly below tend to rise.,"signal = (price - MA(price, 5)) / std(price[-5:])"
Mean Reversion,Implied Volatility Reversion,Implied volatility is expected to revert to its historical average.,"signal = (ImpliedVolatility - SMA(ImpliedVolatility, 60)) / StdDev(ImpliedVolatility, 60); //Sell if signal > 1.5, Buy if signal < -1.5"
Momentum,20-Day Moving Average Crossover,Stocks whose price crosses above their 20-day moving average will continue to appreciate in the next week.,"Signal = 1 if Close[t] > MA(Close, 20), 0 otherwise"
Liquidity Impact on Asset Prices,Volume-Weighted Average Price (VWAP) Breakout,A sustained price move above the VWAP for the day suggests buying pressure exceeding average liquidity and indicates further price appreciation.,signal = 1 if close_price > VWAP_day else -1; VWAP_day = sum(price_i * volume_i) / sum(volume_i) for the day.
Momentum,5-Day Price Change and Volume,Assets with high 5-day price changes and high volume will exhibit continued momentum.,Momentum_Score = (Price[t] - Price[t-5]) * Volume[t-5]
Momentum,Accelerated Momentum,Assets whose price change accelerates over the last 5 days will continue to outperform.,Acceleration = (Price[t] - Price[t-5]) - (Price[t-5] - Price[t-10])
Momentum,PE Ratio and Momentum,Assets with high momentum and relatively low P/E ratios will outperform.,Momentum_Score = ((Price[t]/Price[t-5]) -1) / PE_Ratio[t]
Momentum,Sentiment and Momentum,Assets with high positive sentiment scores and strong recent price performance will continue to rise.,Momentum_Score = Sentiment_Score[t] * (Price[t] / Price[t-5])
Momentum,Correlation with Sector Momentum,Stocks with high correlation to strong performing sectors will also see positive momentum.,"Correlation_Momentum = Correlation(Stock_Returns, Sector_Returns)"
Momentum,Bollinger Band Breakout,Assets breaking above the upper Bollinger Band will outperform in the next 3 days.,signal = Price[t] > UpperBollingerBand[t] ? 1 : 0
Assets with low valuations (relative to fundamentals) tend to generate higher returns,Low P/E Reversion,Stocks with P/E ratios significantly below their historical average will experience price appreciation.,Signal = (Historical Average P/E) - (Current P/E) / (Standard Deviation of Historical P/E)
Undervalued Assets: Fundamental Metrics,Book-to-Market Value Spread,Companies with a high book-to-market ratio (above 1.5) relative to their peers will see share price appreciation over the next 6 months.,Signal = (BookValue/MarketValue) - AVG((BookValue/MarketValue)_peers)
Undervalued Assets Outperformance,Low Price-to-Sales Ratio,Companies with a low price-to-sales ratio compared to their sector will show positive returns.,Signal = 1 if (P/S_stock < 0.5 * avg(P/S_industry)) else 0
Undervalued Assets Outperformance,Dividend Yield Premium,High dividend yield stocks relative to their sector will generate excess returns.,Signal = DividendYield_stock / median(DividendYield_sector)
Momentum,Earnings Surprise Momentum,Assets that had a recent positive earnings surprise tend to show continued momentum.,signal = (Actual_Earnings - Expected_Earnings) / Expected_Earnings
News Sentiment and Price Movement,Negative Sentiment Rebound,A sharp decline in negative sentiment predicts a short-term price increase.,Signal = -1 * (Negative_Sentiment_Today - Negative_Sentiment_Yesterday); if Signal > Threshold then Buy_Signal = 1 else 0
Undervalued Asset Outperformance,Analyst Downgrade Contrarian,"Stocks downgraded by analysts, but showing strong fundamentals, will outperform.",Signal = 1 if Analyst_Rating == 'Downgrade' AND (P/E < Industry_Median_PE) else 0
Undervalued Assets Outperformance,Cash Flow to Price Ratio,Stocks with a high free cash flow to price ratio will outperform due to inherent value.,Signal = FreeCashFlow / MarketCap
Strong Balance Sheet,Low Debt-to-Equity Ratio,Companies with a low debt-to-equity ratio will outperform.,DebtToEquity < 0.5
Mean Reversion,Short-Term Volatility Reversion,High short-term volatility (ATR) is expected to revert to a lower average volatility.,signal = (ATR(10) - AvgATR(50)) / AvgATR(50)
Volatility Changes Predict Returns,Long-Term Volatility Momentum,Increasing long-term volatility predicts higher future returns.,"signal = (rolling_stddev(returns, window=252) - rolling_stddev(returns, window=252, shift=20))"
Volatility Changes Predict Future Price Movements,Volatility Breakout Strategy,A significant increase in volatility signals a potential price breakout.,"signal = 1 if stddev(close_price, window=10) > 1.5 * avg(stddev(close_price, window=10), window=60) else 0"
Low Volatility Alpha,Volume-Weighted Volatility,Low volatility stocks with unexpectedly high trading volume will underperform.,Signal = -1 * (daily_volume / average_daily_volume) * 30-day_volatility
Low Volatility,Implied Volatility Contrarian,Stocks with low implied volatility relative to historical levels will outperform.,signal = -1 * implied_volatility_t / avg(implied_volatility_t-60:t)
Volatility Changes Predict Returns,VIX-Based Put/Call Ratio,A high VIX combined with a high put/call ratio predicts lower returns.,signal = -1 * (VIX * put_call_ratio)
Volatility Changes Predict Returns,Volatility Correlation with Sentiment,A high correlation between volatility and negative sentiment predicts lower returns.,"signal = -1 * correlation(stddev(price, 20), sentiment_index, lookback_period)"
Volatility Changes Predict Returns,Volatility and Sector Rotation,"Changes in market volatility affect sector performance differently, creating alpha opportunities.","signal = sector_beta * (stddev(market, 20) - avg(stddev(market, 20), lookback_period))"
Volatility Changes Predict Returns,Option-Implied Volatility Skew,A shift in the implied volatility skew predicts directional movement in returns.,"signal = skew(implied_volatility, strike_prices)"
Liquidity Drying Up,Drying Liquidity Short,A sudden decrease in trading volume after a period of high volume and upward price momentum predicts a short-term price decline.,signal = -1 * (volume[t] / volume[t-1]) if volume[t] < 0.5 * avg(volume[t-20:t-1]) and (price[t] > price[t-1]) else 0
Liquidity & Volatility,Volatility Spike Reversal,"Following a significant increase in volume and volatility, a mean reversion in price is expected.",signal = -1 * (stddev(price[t-10:t]) / avg(stddev(price[t-30:t-10]))) if volume[t] > 2 * avg(volume[t-20:t-1]) else 0
Illiquidity Premium,Low Liquidity Premium,Assets with persistently low trading volume tend to offer higher returns to compensate for illiquidity.,Signal = 1 / Avg(Volume(t-100:t))
Sentiment-Volume Interaction,Sentiment-Volume Divergence,"When volume increases while sentiment remains unchanged or decreases, it predicts a price decline.",signal = -1 * volume[t] * (1 - sentiment[t]/sentiment[t-1]) //Negative if volume rises and sentiment is flat or falls
Liquidity and Value,Low Volume Value,Undervalued assets (low P/E) with low trading volume may experience price appreciation as investor interest grows.,signal = 1 / (P/E[t] * avg(volume[t-20:t]))
Liquidity & Correlation,Liquidity Correlation Breakdown,"When an asset's volume declines while its correlation with the market increases, it suggests potential underperformance.","signal = Correlation(Asset,Market) - (Volume_today / avg(Volume, 10))"
